number,latin_name,ukrainian_name,subit_coordinates,phase,description
36,Inflammatio,Запалення,THEY × EAST × SPRING,Citrinitas,Займання внутрішнього вогню.
37,Exsiccatio,Висушування,THEY × EAST × SPRING,Citrinitas,Видалення зайвої вологи (емоцій).
38,Maturare,Дозрівання,THEY × EAST × SPRING,Citrinitas,Дозрівання каменю в світлі.
39,Tinctura citrina,Жовта настойка,THEY × SOUTH × SUMMER,Citrinitas,Здатність фарбувати, трансформувати.
40,Corrosio,Роз’їдання,THEY × SOUTH × SUMMER,Citrinitas,Руйнування останніх перешкод.
41,Divisio,Розділення,THEY × SOUTH × SUMMER,Citrinitas,Розділення світла й темряви на новому рівні.
42,Putrefactio citrina,Жовте гниття,THEY × WEST × AUTUMN,Citrinitas,Останнє розчинення перед rubedo.
43,Congelatio citrina,Жовте згущення,THEY × WEST × AUTUMN,Citrinitas,Згущення світла в форму.
44,Cibatio citrina,Жовте годування,WE × NORTH × SPRING,Citrinitas,Спільнота живиться новим світлом.
45,Multiplicatio citrina,Жовте розмноження,WE × NORTH × SPRING,Citrinitas,Поширення світла в колективі.
46,Fixatio citrina,Жовта фіксація,WE × NORTH × SPRING,Citrinitas,Стабілізація нового знання.
47,Projectio citrina,Жовта проєкція,ME × SOUTH × SUMMER,Citrinitas,Его передає світло іншим.
48,Ascensio citrina,Жовтий підйом,ME × SOUTH × SUMMER,Citrinitas,Остаточний підйом до сонця.
49,Rubedo prima,Перше почервоніння,THEY × SOUTH × SUMMER,Rubedo,Поява червоного кольору, rubedo.
50,Sanguificatio,Окровлення,THEY × SOUTH × SUMMER,Rubedo,Камінь набуває кров’яного кольору.
51,Incineration,Спалення до золи,THEY × SOUTH × SUMMER,Rubedo,Остання жертва.
52,Regeneratio,Відродження,THEY × SOUTH × SUMMER,Rubedo,Народження каменю.
53,Maceratio,Розм’якшення,THEY × SOUTH × SUMMER,Rubedo,Камінь стає пластичним.
54,Liquefactio,Розплавлення,THEY × SOUTH × SUMMER,Rubedo,Перехід у рідкий стан.
55,Fixatio rubra,Червона фіксація,THEY × SOUTH × SUMMER,Rubedo,Остаточне закріплення.
56,Tinctura rubra,Червона настойка,THEY × SOUTH × SUMMER,Rubedo,Здатність трансмутувати метали (психіку).
57,Multiplicatio rubra,Червоне розмноження,THEY × SOUTH × SUMMER,Rubedo,Безмежне примноження сили.
58,Projectio rubra,Червона проєкція,THEY × SOUTH × SUMMER,Rubedo,Завершальна трансмутація.
59,Fermentatio rubra,Червоне бродіння,THEY × NORTH × WINTER,Rubedo,Життєва сила каменю.
60,Conjunctio rubra,Червоне з’єднання,THEY × NORTH × WINTER,Rubedo,Остаточний coniunctio.
61,Exaltatio rubra,Червоне возвеличення,THEY × NORTH × WINTER,Rubedo,Прославлення каменю.
62,Sublimatio rubra,Червона сублімація,THEY × NORTH × WINTER,Rubedo,Підняття до найвищого.
63,Deificatio,Обожнення,THEY × EAST × WINTER,Rubedo,Перетворення на lapis philosophorum.
64,Perfectio,Досконалість,THEY × EAST × WINTER,Rubedo,Завершення Великого Діяння.
